9,89,-73,-15
0,11,-26,-93
42,38,30,1
53,4,49,38
42,83,63,-60
42,62,70,-3
67,18,21,-58
10,89,19,94
59,101,-77,67
0,19,54,-73
76,75,-10,96
7,29,-95,-25
69,65,-70,-5
40,81,41,-67
40,81,-20,-37
79,28,-48,-65
50,31,7,-45
68,93,-4,91
96,30,12,31
73,40,79,-62
6,57,61,-1
21,85,40,-11
52,15,25,8
42,53,-76,-51
98,30,6,-45
60,95,59,16
52,48,-84,-76
64,64,66,63
79,13,55,61
33,85,-49,-96
12,34,-96,33
80,62,-8,-58
29,0,-32,79
80,39,60,57
83,41,28,20
49,79,63,23
75,46,-1,-48
61,35,-55,66
60,84,-7,-8
24,81,-27,-29
22,47,-34,-80
21,47,32,-49
44,95,77,64
59,84,21,99
32,22,-20,83
32,78,18,72
81,70,27,46
23,91,-44,-8
33,83,81,-32
72,44,-62,63
6,2,66,-3
95,53,30,50
15,87,-51,-87
79,88,20,-34
11,86,-89,15
10,53,8,79
83,81,-99,-85
60,75,-95,-5
32,66,-41,-82
7,34,-48,26
62,79,-84,-82
32,33,72,87
54,96,-94,-15
43,98,-52,-62
34,64,-65,-62
61,51,55,-73
26,64,-20,-2
85,16,92,-17
55,6,-98,-36
35,18,53,-96
84,31,-81,89
5,84,-89,-4
85,42,-94,-47
78,16,38,-90
38,59,-76,52
5,37,-61,-97
96,15,89,-17
71,65,17,99
89,58,-29,54
19,87,50,16
10,20,-68,-70
16,57,-65,25
35,9,-37,-46
82,10,86,36
45,41,-69,-86
5,21,-3,-87
35,11,88,32
39,94,-61,92
81,88,24,19
33,10,-48,15
14,42,71,-77
33,99,67,-85
67,77,52,-7
9,61,-61,48
57,68,52,74
89,58,-29,-77
54,5,-75,78
25,94,74,94
30,65,-86,-54
47,45,46,16
98,19,-35,-37
97,71,-92,46
64,40,57,-21
100,32,-51,-73
80,91,87,-42
86,82,90,-9
56,11,94,87
31,66,74,-54
52,70,-84,-1
87,85,-18,-85
6,102,-40,14
15,2,-37,60
39,90,-97,67
26,74,-34,97
33,79,74,-84
71,27,83,58
83,31,-32,33
98,15,9,88
27,44,36,38
86,96,90,-15
80,67,87,-27
73,99,48,-11
12,82,95,-87
54,79,-73,21
100,55,-33,29
18,4,12,-12
72,33,79,53
42,81,-16,-99
26,91,29,20
75,26,55,58
17,86,78,45
27,54,-41,78
25,87,50,70
35,73,-66,97
100,40,-79,-55
38,82,-76,-32
16,69,78,20
85,34,13,83
22,60,6,34
38,11,32,63
42,93,4,-12
9,71,5,-55
100,3,-83,-83
68,102,48,-55
19,75,46,-7
23,49,-79,57
51,90,63,-59
32,67,-33,3
40,86,91,-51
32,98,-27,-11
48,60,27,-12
34,80,67,72
87,48,58,-78
73,76,-43,-98
18,69,-97,-41
5,30,40,3
81,82,-88,-35
75,82,-26,37
92,40,-31,-72
6,28,-75,-71
14,54,-75,-8
65,72,71,-90
51,27,-80,34
21,93,78,43
19,20,54,8
78,53,-56,48
20,49,48,93
12,6,-75,-44
34,30,81,53
54,22,63,-42
84,35,8,68
37,32,53,-96
97,14,79,49
78,51,79,30
1,90,-68,-8
54,19,56,87
26,57,88,78
56,75,-7,-6
79,77,-71,-81
82,81,27,-37
68,30,-21,-42
42,8,-38,13
1,34,-10,77
21,70,-52,67
77,37,-8,-46
57,65,73,-81
33,77,-33,95
33,28,-34,-19
74,21,-53,-96
56,102,-66,-68
12,52,96,-4
96,92,2,-9
27,31,1,33
81,56,-77,-27
3,27,76,-3
99,97,44,68
73,7,80,66
25,65,-97,23
33,85,51,28
8,99,-75,15
16,74,40,42
30,80,67,-3
88,38,-25,59
21,20,-58,8
45,33,-31,-17
34,37,25,-23
37,99,-76,38
77,65,13,-4
98,16,-77,45
24,61,11,-52
86,101,-1,-39
50,43,70,29
41,10,84,-92
31,61,88,-32
42,50,42,2
31,43,24,-57
90,61,42,-88
64,83,-21,70
42,57,51,43
12,1,78,86
62,56,59,76
46,79,-91,-66
97,19,2,86
88,25,86,34
83,89,-94,60
71,2,36,-60
99,19,-49,96
29,92,67,97
72,99,-75,-76
98,22,90,-83
52,80,-28,-83
43,11,-21,-43
80,52,-46,27
6,96,68,-63
67,50,-69,-69
53,20,-33,-8
21,12,40,-69
43,21,87,81
22,96,-55,-15
44,27,91,-37
34,23,74,32
49,35,74,-20
9,42,3,89
36,26,-10,84
52,37,-45,81
48,16,63,-43
23,25,-20,86
27,85,-97,-30
37,40,-58,23
33,44,-65,6
35,16,3,-12
57,77,45,72
39,46,32,-52
68,33,-14,-17
42,39,36,-6
56,100,98,-67
10,11,-9,36
20,78,-50,-61
18,88,61,71
64,35,7,95
90,69,-50,-53
20,88,50,-17
